date,time,srcIP,destIP,port,flow
2016/4/24,03:42:54,202.120.96.222,85.83.239.165,80,40477
2016/4/1,10:13:13,202.120.90.23,85.83.239.165,8080,59469
2016/4/18,12:26:00,202.120.5.157,85.83.239.165,8080,79145
2016/4/2,01:28:07,202.120.255.106,85.83.239.165,25,95882
2016/4/6,12:37:18,202.120.247.252,85.83.239.165,25,51642
2016/4/13,19:25:27,202.120.226.103,85.83.239.165,25,57153
2016/4/20,14:05:05,202.120.208.97,85.83.239.165,8080,74081
2016/4/12,17:09:48,202.120.204.147,85.83.239.165,80,10667
2016/4/5,04:20:08,202.120.197.16,85.83.239.165,80,78781
2016/4/21,16:46:01,202.120.181.192,85.83.239.165,8080,49660
2016/4/24,13:28:23,202.120.16.73,85.83.239.165,8080,61011
2016/4/28,11:33:38,202.120.136.137,85.83.239.165,25,8281
2016/4/11,22:34:22,202.120.135.82,85.83.239.165,25,10975
2016/4/13,12:45:52,202.120.117.117,85.83.239.165,443,30162
2016/4/19,15:58:43,202.120.109.194,85.83.239.165,80,81359
2016/4/21,06:50:37,202.120.105.91,85.83.239.165,443,58147
2016/4/11,21:26:40,202.120.95.42,85.130.182.223,443,26918
2016/4/11,09:41:15,202.120.92.188,85.130.182.223,25,56244
2016/4/9,00:54:22,202.120.89.88,85.130.182.223,25,70952
2016/4/6,06:45:00,202.120.76.32,85.130.182.223,443,6269
2016/4/17,14:08:52,202.120.72.151,85.130.182.223,80,57910
2016/4/10,06:03:41,202.120.70.117,85.130.182.223,25,23035
2016/4/6,01:40:46,202.120.64.155,85.130.182.223,8080,79689
2016/4/8,07:23:07,202.120.47.140,85.130.182.223,80,67550
2016/4/17,00:50:33,202.120.43.148,85.130.182.223,8080,92230
2016/4/29,13:47:06,202.120.246.65,85.130.182.223,8080,96835
2016/4/6,14:59:00,202.120.232.175,85.130.182.223,443,94595
2016/4/21,05:53:38,202.120.226.229,85.130.182.223,25,41911
2016/4/18,12:02:03,202.120.179.9,85.130.182.223,8080,37560
2016/4/5,13:12:32,202.120.179.79,85.130.182.223,80,72251
2016/4/15,15:11:24,202.120.163.57,85.130.182.223,25,18702
2016/4/24,21:59:39,202.120.140.59,85.130.182.223,443,91401
2016/4/13,21:23:24,202.120.14.46,85.130.182.223,8080,4518
2016/4/14,12:07:56,202.120.134.133,85.130.182.223,25,98572
2016/4/24,11:57:00,202.120.117.195,85.130.182.223,443,13949
2016/4/28,19:31:51,202.120.110.87,85.130.182.223,443,64976
2016/4/2,21:15:16,202.120.87.224,81.64.226.71,443,8186
2016/4/9,18:58:54,202.120.84.253,81.64.226.71,25,95471
2016/4/18,15:59:25,202.120.75.134,81.64.226.71,8080,92334
2016/4/1,17:16:44,202.120.74.2,81.64.226.71,25,58254
2016/4/27,23:37:19,202.120.68.20,81.64.226.71,443,76178
2016/4/11,16:44:29,202.120.66.90,81.64.226.71,80,32350
2016/4/22,04:41:59,202.120.3.212,81.64.226.71,443,93239
2016/4/30,09:00:40,202.120.26.104,81.64.226.71,80,23856
2016/4/1,14:50:13,202.120.238.220,81.64.226.71,25,24431
